Date;Text;likes;retweets;replys
2022-05-24;gleich geht es los auf dem ärztetag. die kolleginnen sind neugierig auf meine rede. kollege reinhardt hat mich heute schon kritisiert. aber sehr fair. ;2533;93;1815
2022-05-24;es ist der hass von wenigen frustrierten. aber die mehrheit der bürger auch kritische menschen sind friedlich. das schätze ich an ihnen. ;4061;212;2131
2022-05-24;coronaimpfung macht nicht unfruchtbar. das gerücht hält sich leider immer noch. ;1533;159;1080
2022-05-23;ohne jede stigmatisierung müssen insbesondere männer mit anonymen sex vor affenpocken gewarnt werden. sie sind im moment eine risikogruppe. nur gemeinsam kann der ausbruch beendet werden. ;1896;227;1945
2022-05-23;mit who generaldirektor  wird heute in genf verhandelt wie pandemien besser und schneller bekämpft werden können. ärmere länder brauchen dafür nicht nur mehr geld. sie brauchen auch mehr einfluss in der who und die who muss besser finanziert werden. ;831;105;829
2022-05-23;gleich beginnt jahrestagung der who in genf. gleichzeitig mit dem weltwirtschaftsforum von davos. für mich ist klar was die wichtigere veranstaltung ist ;1525;86;987
2022-05-22;diese grafik zeigt den unbezahlbaren wert der impfungen. trotzdem ist es nicht sicher dass es so weiter nach unten geht. nur das gleichzeitige eintreffen der omicron varianten hat den erfolg der impfungen beschleunigt. ;1225;126;1532
2022-05-21;gute nachricht paxlovid davon haben wir sehr viel für den herbst gekauft senkt die sterblichkeit von covid im praxiseinsatz deutlich. die optimale verwendung muss noch besser vorbereitet werden. ;1838;206;1070
2022-05-21;ohne zusammenarbeit werden wir neue pandemien nicht verhindern. in diesem jahr müssen die weichen gestellt werden um zukünftige pandemien frühzeitig eingrenzen zu können. dafür haben g7 länder einen pakt beschlossen der auch ärmeren ländern das personal und die mittel geben wird ;1053;115;1173
2022-05-20;who und g7 haben sich heute in berlin auf einen pakt gegen neue pandemien geeinigt. klimawandel reisen und zerstörung der umwelt führen leider immer häufiger zu pandemien daher brauchen wir eine art weltumfassende feuerwehr dagegen. darauf haben wir uns heute verständigt ;1586;183;2083
2022-05-19;eine gute zusammenfassung über monkeypox. seit monaten haben who und rki ein übungsszenario zu einem ausbruch fiktiver leopardenpocken vorbereitet den wir heute als g7 gesundheitsminister simuliert haben. zeigt welche bedeutung pandemien bekommen  ;1243;193;2284
2022-05-19;danke! ;1801;97;1362
2022-05-19;die korrektur der who ist wichtig. deutschland hat viele opfer zur vermeidung von coronatoten gebracht. die bilanz ist nicht perfekt. aber es starben weniger menschen als in vielen anderen ländern zumindest in anbetracht unserer alten bevölkerung. ;947;69;612
2022-05-17;in u.k. werden die longcovid fälle systematischer erfasst als bei uns. es zeigt sich dass auch viele geimpfte in der omicron welle betroffen sind. trotzdem wäre die zahl ohne impfung viel höher die impfung schützt. longcovid alleine wäre grund genug sich impfen zu lassen. ;1438;223;1968
2022-05-17;spürhunde können covid zuverlässig riechen und feststellen. sie können wahrscheinlich auch auf neue varianten spezialisiert werden. für flughäfen wäre dies eine zusätzliche sicherheit. ;2097;274;2800
2022-05-16;alles gut.  und ich haben das schon ausgeräumt. nicht jede aussprache ist bei uns beiden gleich ein streit ;1206;35;286
2022-05-16;das jetzige infektionsschutzgesetz ist zu dünn um uns durch die kalte jahreszeit zu bringen. da es am 23.9 ausläuft müssen jetzt die vorbereitungen beginnen. ich weiß im sommer will das keiner hören. aber im herbst muss das vorbereitet sein. gut dass die länder mitziehen. ;3275;303;2712
2022-05-14;super leistung. wenn es so weiter aufwärts geht wird köln bald deutscher meister ;1650;54;536
2022-05-14;mit dem  und  leverkusen spielen beide teams meines wahlkreises auf der europa bühne. herzlichen glückwunsch und viel erfolg.;993;18;162
2022-05-14;wir werden gemeinsam auch den herbst gut vorbereiten. man darf sich nicht treiben lassen. auch jetzt sterben noch zu viele am coronavirus. ;1914;157;2021
2022-05-13;die leute wollten selfies von uns beiden. alleine hätte mich keiner beachtet. und du konntest wenigstens die fragen beantworten ;3486;108;675
2022-05-13;letzte runde wahlkf nrw. thomas kutschaty hätte es mehr als verdient. er ist kompetent kein blender. ein guter mp ;3125;175;1771
2022-05-13;richtfest für das neue arzneimittelwerk von bayer in leverkusen. damit können in 1 hightech fabrik ganz verschiedene wirkstoffe hergestellt werden. ein schritt in richtung unabhängigkeit von lieferketten im ausland.  und ich haben das gewürdigt. ;1569;85;646
2022-05-12;diese wichtige abwasserprobenstudie aus israel belegt dass die tödlichere delta variante trotz omicron wahrscheinlich nicht einfach verschwindet. im herbst brauchen wir impfstoffe gegen delta varianten und omicron. für beide serotypen müssen wir rüsten ;1395;214;1450
2022-05-12;jeder der sich sorgen um seine eltern freunde und partner in dieser altersgruppe macht sollte das ansprechen. obwohl der beweis noch aussteht ist es überwältigend wahrscheinlich dass eine überstandene schwere covid erkrankung im alter das demenzrisiko erhöht. impfen schützt;1159;96;779
2022-05-12;schwere covid erkrankungen gehen oft mit sehr deutlichen einschränkungen der denkfähigkeit einher. in tagen kann das gehirn um 20 jahre altern. 4. impfung schützt zuverlässig vor schweren verläufen. ältere und menschen mit risikofaktoren sollten sie nutzen ;1942;335;2285
2022-05-12;gute frage. denn auch für geimpfte kann es zu longcovid kommen. das will niemand. und die arbeit von  wird für die energiewende gerade im verkehrsbereich auch für kollegen  noch dringend gebraucht! ;1874;158;570
2022-05-12;mit täglich  bis zu 150 coronatoten und einer immer noch sehr hohen inzidenz fehlt der spielraum auf masken im öffentlichen verkehr zu verzichten. harmonisierung macht sinn wenn die pandemie vorbei ist. das ist jetzt noch nicht der fall.  ;6342;596;3033
2022-05-10;leider die lage ;1643;157;1128
2022-05-10;bin heute abend bei sandra  zu gast. was könnte uns im herbst erwarten ist die pandemie vorbei? aus meiner sicht leider nicht. kommentare willkommen. ;1477;123;2439
2022-05-09;es wird keinen behandlungsabbruch expost triage in deutschland geben. damit ärztinnen erst gar nicht in eine solche entscheidungsnotlage geraten brauchen wir genug personal auf den intensivstationen. daran wird gearbeitet.  ;2125;240;1246
2022-05-08;lesenswert. was man bisher über ba4 und ba5 weiß.  ;545;109;818
2022-05-08;glückwunsch an . in pandemiebekämpfung konnte man mit ihm immer gut zusammenarbeiten. das ist wichtig für den herbst. wenn  mit hetze gegen ausländer und verleugnung coronagefahr den landtag verlässt aufatmen für deutschland  ;2008;66;688
2022-05-08;die kinder können einem leid tun. für propaganda missbraucht. wie zynisch. zuerst kommen die soldaten. zuletzt die sanitäter. ;7368;554;1988
2022-05-06;darin wird auch klargestellt dass weder ich noch  die auswertung verschieben wollten anders als von einem journalisten immer wieder behauptet wird. für mich kein problem in der politik kennt man das. aber kagnen gegen wissenschaftlern schaden uns allen. ;818;74;624
2022-05-06;lesenswertes interview von prof. huster leiter der kommission zur bewertung des infektionsschutzgesetzes.  ;514;64;420
2022-05-06;genau. der gesetzentwurf wird vorbereitet. in meseberg war das konsens. wir beschleunigen jetzt das verfahren der legalisierung ;3753;365;838
2022-05-06;so wird es kommen. der prozess wurde eingeleitet. ;6596;420;484
2022-05-06;besuch der kinderklinik st. augustin war erhellend wie ernüchternd. dieser klinik verdanken so viele kinder ihr leben. jetzt ist bausubstanz alt und kaputt sie macht defizite. wir werden das ändern kinderkliniken kommen aus der fallpauschale dann gibt es auch kein defizit mehr ;4043;248;744
2022-05-06;diese studie aus israel zeigt noch einmal ganz klar den nutzen der 4. impfung beim schutz gegen schwere covid krankheit. jeder ü70 und alle mit vorerkrankungen sollten das angebot nutzen. schwere covid verläufe führen über longcovid oft zu chronischer krankheit. 4.impfung hilft ;1132;189;1510
2022-05-05;ich bringe jede bedrohung oder jeden aufruf zur gewalt zur anzeige. wir können gerne in der sache streiten. aber gewalt und drohungen bin ich leid. diese menschen bedrohen oft auch andere und müssen angezeigt werden. ;15263;699;3660
2022-05-04;das drk hilft uns für die vielen geflüchteten und evakuierten pflegebedürftigen menschen aus der ukraine einen pflegeplatz zu bekommen. deutschland liefert nicht nur waffen. die humanitäre hilfe darf nicht vergessen werden ;1022;64;551
2022-05-02;diese wichtige studie aus den us zeigt dass das risikos des übertritts von viren von tier zu mensch durch den klimawandel rasant ansteigt. das potential zukünftiger pandemien steigt sehr stark an. ein besserer schutz vor pandemien ist dringend notwendig  ;2262;343;2168
2022-05-01;gesund in den sommer. auch wenn man topfit ist kann sich durch die coronainfektion alles für einen ändern. ein gut trainierter körper schützt meistens vor schwerer covid erkrankung. leider nicht annähernd so gut vor longcovid. vorsicht zahlt sich jetzt aus ;1704;250;1882
2022-04-29;die studien zu omicron ba.4 und ba.5 legen nahe dass die vorherigen omicron infektionen keinen oder wenig schutz vor ansteckung geben könnten. es steigt damit die wahrscheinlichkeit dass es im herbst neue infektionswellen geben wird. darauf bereiten wir uns jetzt schon vor. ;2364;374;2941
2022-04-28;eine wichtige coronastudie der uni freiburg interpretiert von . die studie legt nahe daß impfungen vor neuen varianten des coronavirus wahrscheinlich besser schützen als eine durchgemachte infektion. auch genese profitieren von der impfung. das wird im herbst wichtig ;1631;244;2188
2022-04-28;leider hat mir gerade  mitgeteilt dass er die auswertung des infektionsschutzgesetzes für die bundesregierung und das parlament nicht weiter begleitet. das ist ein schwerer verlust weil niemand könnte es besser.;12902;968;5078
2022-04-25;an der  wurden heute die drei stationen mit dem patienten award ausgezeichnet die von den patienten die beste bewertung hatten.  und ich waren beeindruckt die bewertungen waren mehr als verdient. ;1999;108;1172
2022-04-24;dass es in europa nochmals solche bilder geben würde habe ich ehrlicherweise nicht für möglich gehalten. hoffentlich endet dieser furchtbare krieg bald. dass er jetzt auch noch als mittel zum wahlkf eingesetzt wird ist bestürzend. ;4198;284;1194
2022-04-24;in der studie waren nach covid krankenhaus aufenthalt ca 75 1 jahr nach entlassung nicht gesund. die langzeitwirkungen von covid werden unserer gesundheitssystem noch lange sehr viel geld kosten. die forschung für long covid muss dringend ausgebaut werden. ;2382;384;1428
2022-04-23;das zeigt weshalb die entscheidung die coronaisolation zu erhalten richtig war ;5125;312;874
2022-04-23;isolation von  ist richtig. wenn wir coronainfizierte nicht mehr  isolieren wie  verlangt wird gefährden wir alle menschen die wir durch impfung nicht gut schützen. das sind insbesondere alte menschen und ungeimpfte kinder ;3095;254;1843
2022-04-23;im gespräch mit pflegekräften im prosper krankenhaus in recklinghausen. es gelingt uns mittlerweile besser junge menschen für den pflegeberuf zu gewinnen. aber es gelingt nicht ausreichend viele im beruf zu halten. seit monaten sammle ich ideen und vorschläge problem zu lösen ;1400;119;1574
2022-04-23;diese us studie aus ca zeigt dass der schutz vor krankenhaus einweisung mit omicron bereits 3 monate nach dem booster nachlässt. risikopatienten und menschen ab 70 empfehle ich daher wie die stiko die 4. impfung. ;1205;220;2164
2022-04-22;die studie ist weiterer meilenstein beginnende alzheimer demenz durch einen bluttest früh zu diagnostizieren. mit solchen tests schafft man die voraussetzungen medikamente zu entwickeln. die stärkung dieser forschung wird ein schwerpunkt unserer reformen ;1878;123;588
2022-04-22;in kölnmülheim mit stadtteilmüttern jugendhilfe christliche sozialhilfe. hilfe für ukrainische flüchtlinge und bereits im stadtteil lebender menschen mit migrations und fluchthintergründen besprochen. die hilfsbereitschaft ist riesig. auch bei menschen die selbst arm sind. ;1079;61;390
2022-04-22;diese studien werden in wenigen jahren wahrscheinlich sehr viele menschen beschäftigen. covid patienten leiden oft an nachhaltiger beeinträchtigung ihrer kognitiven leistungen und zeigen dazu passende hirnveränderungen. die akute infektion geht die chronische krankheit beginnt ;2302;510;1904
2022-04-21;lieber . ich wünsche schnelle und vollständige genesung und danke für den hinweis dass die dreifachimpfung zuverlässig vor schweren verläufen schützt. jeder ungeimpfte in ihrer lage müsste sich jetzt ganz andere sorgen machen. ;3856;206;3408
2022-04-20;in den usa ist eine neue variante aufgetreten die deutlich ansteckender als omicron ba2 zu sein scheint. niemand hört das gerne aber es ist so das coronavirus bleibt unberechenbar. durch überwachung neuer varianten und anpassungen der impfstoffe sind wir aber gut vorbereitet ;3663;599;4165
2022-04-18;wir tun alles diese mediziner dorthin zu vermitteln wo sie ohne unverantwortbare eigene gefährdung helfen können. die zusammenarbeit mit ländern ukrainegrenze und der ukraine ist eng. auch werden verletzte und kranke ausgeflogen und in d und eu versorgt ;1847;157;572
2022-04-17;stimmt. so könnte es leider kommen. mit jedem herbst steigt der anteil der longcovid kranken in der bevölkerung. dagegen müssen arzneimittel entwickelt werden. die impfung reicht alleine nicht. ;2707;339;2231
2022-04-17;ich wünsche uns allen ein frohes osterfest obwohl es viele leider nicht haben können. meine gedanken sind bei all den menschen die jetzt unter dem mörderischen narzisstischen diktator putin leiden müssen.;17806;651;2416
2022-04-16;die  trägt mit zu dem klima bei das die gesellschaft spaltet und in gewalt endet. sie trägt den hass in die parlamente. die demokratischen parteien trennt vieles. aber wir arbeiten alle daran dass die  die parlamente wieder verlassen muss. ;7491;915;3666
2022-04-15;nach wie vor sehr hohe coronafallzahl führt zu zu vielen todesfällen noch kurz vor sommerentspannung. ich appelliere an alle zum freiwilligen maskentragen im innenraum. ein kleines opfer. gerade an ostern sollten wir weder uns selbst noch andere gefährden. ;3661;424;3132
2022-04-14;coronapolitik wird zunehmend durch staatsfeinde missbraucht. durch gewalt soll demokratie beschädigt werden. danke an ermittler und bka die mir halfen. gegner und befürworter meiner arbeit  will ich auch weiter zusammenführen. aber gewalt weiche ich nicht ;10110;708;3100
2022-04-13;diese amerikanische studie zur entwicklung der lebenserwartung während der covid pandemie zeigt dass deutschland im vergleich zu vielen industrieländern bisher eine geringere senkung der lebenserwartung hatte. die solidarität der bürger hat dies erreicht. ;2236;188;1944
2022-04-11;vor meiner wohnung protestieren die impfgegner. die proteste radikalisieren sich. trotzdem darf es keine leichtsinnige corona politik geben nur um solche proteste zu vermeiden. proteste sind ok. gewalt und gewaltdrohungen jedoch nicht und sie sind leider auch alltag. ;8347;702;4873
2022-04-10;nach dieser herben woche darf man den humor nicht komplett verlieren. klaus stuttmann liegt aber hier daneben ;6775;322;1488
2022-04-10;solche plakate sollte man nicht aufstellen. sicher vor einer coronainfektion ist man ohne maske sicher nicht ;15048;999;3767
2022-04-09;wichtige studie von  zeigt dass geboosterte infizierte mit omicron deutlich weniger ansteckend sind als ungeimpfte oder ungeboosterte infizierte. somit ist die boosterimpfung nicht nur selbstschutz sondern auch fremdschutz. ;5431;783;2638
2022-04-09;lieber . milden verlauf und schnelle und vollständige genesung wünsche ich ihnen. es kann leider jeden von und treffen. zum glück schützt uns die impfung zumindest fast immer vor schwerer krankheit.  ;3331;155;1431
2022-04-09;wenn die medizinische versorgung durch covid gefährdet ist zb zu viele patienten mit covid oder zu wenig personal weil an covid infiziert sollte die hotspot regel des infektionsschutzgesetzes genutzt werden. genau dafür wurde sie gemacht.  ;1699;236;1621
2022-04-09;die fallzahlen gehen stark zurück. damit es so bleibt sollte sich jeder vor einer osterreise testen lassen oder selbst testen. ich rate auch weiter zum freiwilligen tragen der maske in innenräumen. ;2229;189;2045
2022-04-08;wir dürfen uns an diese zahlen nicht gewöhnen. die welle der infizierten flacht jetzt ab. dann folgt auch die zahl der toten. aber im herbst müssen und werden wir besser vorbereitet sein. ;3379;238;2574
2022-04-08;diese studie zu longcovid aus f zeigt dass diejenigen die nach 2 mon noch symptome haben zu 85 auch noch nach 1 jahr symptome haben. nach 6 mon verschlechtert sich die lebensqualität sogar. so kann eine unnötige infektion das leben verändern ;3409;765;1936
2022-04-07;das kann für china leider ein grosses problem werden. im inneren des landes sind die impfquoten leider sehr niedrig. ;1347;139;1439
2022-04-07;hier ist das ergebnis zum gesetz für die impfpflicht. fast nur abgeordnete von  und  haben für impfpflicht gestimmt. man kann für oder gegen impfpflicht sein. aber es ist schade wenn ein so wichtiges thema gegenstand der parteipolitik ist ;8791;938;3939
2022-04-07;fast jeden tag gibt es neue studien zu langfristigen schäden der coronainfektion wird uns noch jahre begleiten. wir müssen mehr über diese langzeitschäden aufklären.  ;3409;515;3573
2022-04-07;einziger gesetzentwurf der die allgemeine impfpflicht gebracht hätte ist gerade gescheitert. es ist eine sehr wichtige entscheidung denn jetzt wird die bekämpfung von corona im herbst viel schwerer werden. es helfen keine politischen schuldzuweisungen. wir machen weiter;12862;786;7506
2022-04-07;im bundestag kämpfen wir gerade für die einführung einer impfpflicht. 90 der corona todesfälle sind über 60 j alt. daher ist die impflücke in dieser gruppe besonders wichtig. der gesetzesantrag zur impfpflicht beginnt mit der impfpflicht für diese altersgruppe. ein wichtiger tag;4637;214;2823
2022-04-06;2 corona ist keine erkältung. daher muss es weiter eine isolation nach infektion geben. angeordnet und kontrolliert durch die gesundheitsämter. dazu morgen mehr. der fehler lag bei mir und hat nichts mit der fdp oder lockerung zu tun. es ging um entlastung der gesundheitsämter;15219;623;1288
2022-04-06;1 die beendigung der anordnung der isolation nach coronainfektion durch die gesundheitsämter zugunsten von freiwilligkeit wäre falsch und wird nicht kommen. hier habe ich einen fehler gemacht. das entlastet zwar die gesundheitsämter. aber das signal ist falsch und schädlich.;26182;1904;3664
2022-04-05;der kompromissvorschlag hat eine hohe wahrscheinlichkeit die impfpflicht am donnerstag durchzusetzen. da 90 der covid toten über 60 j alt sind wird er eine sehr starke wirkung im herbst haben.  ;1933;195;3571
2022-04-04;2 jetzt gibt es viele die nicht mehr an gelingen der impfpflicht glauben. auch schadenfreude wird laut. ich glaube aber immer noch an sieg der vernunft. die gesellschaft verlangt zunehmend lockerungen druck ist immens. ohne impfpflicht müssen im herbst die lockerungen enden;2324;126;2694
2022-04-04;1 neuer kompromiss impfpflicht sofort ab 50 ab 18 wenn im herbst nötig impfregister. so können im herbst lockdown massnahmen verhindert werden weil ungeimpfte ältere geschützt wären. für diesen kompromiss werben abgeordnete ab heute bis donnerstag ;3116;257;4079
2022-04-04;die isolation und quarantäne werden von den gesundheitsämtern kaum mehr kontrolliert. die arbeit ist fast nur bürokratische dokumentation hat kaum einfluss auf die fallzahlen. daher reicht hier eigenverantwortung.  was hilft sind masken und impfungen.  ;2640;252;4932
2022-04-04;danke an  für die umsetzung der hotspot regel. auch in anderen ländern sollte diese geprüft und umgesetzt werden wo die fallzahlen die gesundheitsversorgung bedrohen. ;1970;156;1226
2022-04-03;geimpfte die sich trotz maske mit omicron infizieren können den relativ leichtesten verlauf erwarten. wegen der hohen infektionszahlen lohnt es sich daher in den nächsten wochen im innenraum noch maske zu tragen. jede ansteckung bringt dazu das risiko von longcovid. ;3566;440;2814
2022-04-03;so geht der sonntag dahin mit rolf mützenich und katja mast in der spd zentrale. unter anderem wird an kompromissen zur allgemeinen impfpflicht mit den anderen demokratischen parteien im bundestag gearbeitet. ;1566;108;2241
2022-04-03;hier wird die covid strategie in schweden systematisch analysiert. das ergebnis ist sehr negativ. daraus müssen wir alle lernen. unsere lockerungen kommen vielen jetzt zu früh. aber fast ganz europa hat früher geöffnet.  ;2385;415;2097
2022-04-02;gute liste. diese vulnerablen menschen profitieren auch von der 4. impfung ;966;158;819
2022-04-02;epidemiologisch wäre das festhalten an der maskenpflicht richtig gewesen. es ging aber rechtlich nicht der besondere schutz der ungeimpften rechtfertigt einschränkungen der geimpften nicht mehr. daher müssen jetzt ungeimpfte für sich selbst sorgen.  ;4066;448;4636
2022-04-02;leider ist es genau so lesenswerter artikel in . in ein paar jahren werden wir volles ausmass longcovid erkennen. jetzt sollte jeder versuchen eine infektion zu vermeiden. selbst bei mildem verlauf droht eine veränderung des weiteren lebens. hört keiner gerne ist aber so ;4048;785;2367
2022-04-02;was könnte denn passieren damit im herbst eine impfpflicht nicht notwendig würde? ungeimpfte bewegen sich nicht das virus bleibt und alternative zu lockdown massnahmen im herbst sind zu viele tote. vorsorge ist impfung kein gesetz zur verschiebung der impfung ;2011;159;1821
2022-04-02;wichtige studie von biontech und  zeigt dass eine zukünftige omicron impfung auch schutz gegen andere varianten geben dürfte. das ist eine sehr gute nachricht. damit käme man einem ende der pandemie durch impfungen einen schritt näher ;3092;410;3298
2022-04-02;ich sehe nicht ganz deutschland als krankenbett. aber im moment sterben ca 230 menschen pro tag anmit corona. jeden tag. das will ich im herbst verhindern. zu viele haben sich an den tod so vieler menschen gewöhnt. vorschlag  ist keine lösung kopf im sand ;3951;328;2914
2022-04-01;eine enttäuschung. nrw nutzt in keiner einzigen stadt die hotspotregel trotz sehr hoher fallzahlen. im bund hatte fdp dafür eine grundlage ganz deutschland ist kein hotspot. auf länderebene geht rechtlich zumindest die maskenpflicht in hotspot gebieten  ;2112;229;2337
2022-04-01;angela merkel handelt vorbildlich wenn sie die maske im supermarkt trägt. ich werde das auf absehbare zeit auch tun und empfehle es jedem kunden. wir schützen so uns selbst und andere. in hotspot städten und ländern sollten die bundesländer diese regel vorgeben ;5667;378;1510
2022-04-01;covid auch nach milden verläufen wird ein vermächtnis chronischer krankheiten hinterlassen. dazu zählen wahrscheinlich auch diabetes und demenz. bei vielen heilt covid nicht komplett aus und wird eine chronische krankheit. impfungen senken dieses risiko  ;3507;634;2775
2022-04-01;omicron infektion wird wahrscheinlich kaum eine bleibende immunität hinterlassen. covid scheint es insgesamt rückfällen leicht zu machen. daher ist eine infektion durch leichtsinn zum zwecke einer natürlichen immunität ein fehler. organe leiden für nichts  ;6179;1137;2691
2022-03-31;in der altersgruppe 511 j hat biontech impfung das risiko der hospitalisierung nach omicron infektion um zwei drittel gesenkt. der schutz der kinder vor schweren verläufen ist weiter wichtig. ;2489;271;1843
2022-03-31;habe heute in uniklinik köln langes gespräch mit pflegekräften geführt. erst danke gesagt dann zugehört. gut ist dass das interesse am pflegeberuf deutlich steigt. jetzt brauchen wir bessere bezahlung bessere arbeitszeiten mehr karriere entwicklung und mehr ausbildungsplätze ;6402;303;1960
2022-03-30;hamburg zeigt dass die hotspot regel des infektionsschutzgesetzes funktioniert. es ist schade dass so viele bundesländer sich nicht stärker engagieren obwohl die voraussetzungen regional gegeben wären.  ;2614;253;1717
2022-03-30;lieber . ich dachte nur beim 1 fc köln gäbe es stimmige mannschaftsleistung? ;356;20;162
2022-03-30;eine 4. impfung ab 60 wird jetzt von der eu geprüft die daten aus israel sprechen klar dafür. in den usa wird durch fda jetzt 4. impfung ab 50 empfohlen.  ;1465;180;1346
2022-03-30;exzellenter beitrag longcovid was viele verdrängen die ende der pandemie erreicht sehen. longcovid lässt zehntausende chronisch krank zurück das macht keine grippe. wir haben keine therapie. selbst geimpfte omicron infizierte trifft das daher vorsicht ;4042;830;2320
2022-03-29;danke! einfach nur danke! ;10006;444;1226
2022-03-29;dem ist nur zuzustimmen. die studie recovery uk hat weltweit die therapie verbessert. wir haben in der gesamten pandemie nicht im ansatz eine klinische studie dieser qualität in deutschland aufgelegt. das thema wird in kürze aufgegriffen. ;1228;87;344
2022-03-29;europa braucht eine gemeinsame strategie zur 4. impfung. wir werden das heute hier in brüssel auf meinen wunsch hin verhandeln. die daten aus israel zeigen eine fast 80 senkung der omicron sterblichkeit ü 60 wenn 4 mon nach booster die 4. impfung kommt.  ;3047;348;3673
2022-03-29;nein lieber . wenn einem land droht gesundheitsversorgung ist gefährdet gilt land als hotspot. das bestreitet auch min  nicht. eine bundesweite maskenpflicht ohne überforderung hätte ich gewollt. diese geht aber rechtlich   nicht ;2263;198;1278
2022-03-29;so ist es leider. auch in der politik vergeht leider kaum ein tag an dem ich nicht gefragt werde ob covid nicht doch ab jetzt genau so behandelt werden soll wie grippe. heisst staat hält sich raus. wir leben wie vorher. jetzt eben zwei arten der grippe. diese sabotage wirkt ;3808;386;1773
2022-03-28;damit wiederum hat  recht. ;838;59;604
