Datum;Text;likes;retweets;replys;Uhrzeit des Tweets;Wochentag
2022-05-29;das sind in der tendenz gute nachrichten. affenpocken mutieren sehr wenig und die bisherigen neuen mutationen deuten bisher nicht auf einen neuen höheren r-wert hin. die größe der ansteckungscluster könnte entscheidend sein. aber alles noch vorläufig. https://t.co/y3l3hpsqt5;611;51;459;14:40:37;Sonntag
2022-05-29;ohne ärzte keine krankheit? vielleicht denken wir alle zu kompliziert und die lösungen sind so einfach… https://t.co/go9bwo8pgm;15372;973;2094;00:03:12;Sonntag
2022-05-27;die charakterliche integrität von @svenlehmann kann ich bestätigen. aber auch die fachkompetenz.  eine erfolgreiche zusammenarbeit beim thema affenpocken gelingt zb nur, indem wir ohne diskriminierung mit einem glaubwürdigen queer beauftragen risikogruppen erreichen. https://t.co/feb70emzik;1362;69;779;19:59:06;Freitag
2022-05-26;lesenswertes interview zu affenpocken mit einem spezialisten https://t.co/c2afoxlup0;569;74;611;23:58:34;Donnerstag
2022-05-26;ich begrüße diesen schritt ausdrücklich. gute medizin steht auf dem boden der wissenschaft. für homöopathie gibt es dort keinen platz. in einer solchen frage muss man farbe bekennen. https://t.co/jogtew6nbm;11202;806;1619;13:40:48;Donnerstag
2022-05-26;diese studie zu #longcovid und impfungen ist wichtig, auch wenn das ergebnis ernüchtert. das #longcovid risiko sinkt durch die impfungen, aber nicht so stark wie erhofft. daher ist die vermeidung der infektion durch freiwilliges maskentragen weiter sinnvoll. https://t.co/zcsudtrhhi;2461;444;1804;10:16:38;Donnerstag
2022-05-25;bin heute abend bei markus #lanz zu gast. ein thema: affenpocken. es werden heute keine verordnungen oder gesetze einkassiert 😉 kommentare willkommen.  https://t.co/g9ruwtzk6k;2584;124;2018;19:53:15;Mittwoch
2022-05-25;im ⁦@thelancet⁩ erscheint preprint zur wirkung 4. dosis mrna bei ü 80 j in pflege. sterblichkeit omicron sank um mehr als 1/3. die 4. dosis wird in deutschland viel zu wenig genutzt. omicron gilt zu unrecht als harmlos, täglich sterben 100 menschen https://t.co/ukfggcreg6;778;143;1002;19:42:34;Mittwoch
2022-05-24;together we can achieve a lot. new pandemics can be prevented if we educate people how it can be done. who is rising to this challenge. https://t.co/go3ndrgbxg;588;56;411;21:59:11;Dienstag
2022-05-24;just er-elected as ⁦director general of #who: @drtedros⁩. 155/160 votes, spectacular result. congratulations, fully deserved. https://t.co/uuhvnqkd4p;1868;474;598;16:22:46;Dienstag
2022-05-24;die omicron ba1 variante verlief leichter als die nach ihr aufgetretene ba2 variante. ba4/ba5 und ba2.12.1 noch unklar. es gibt auf keinen fall ein gesetz: evolution macht virus immer harmloser. daher ist die herbst vorbereitung mit mehreren impfstoffen wichtig. https://t.co/9vuvxdcrpg;935;96;905;16:18:10;Dienstag
2022-05-24;gleich geht es los auf dem ärztetag. die kolleginnen sind neugierig auf meine rede. kollege reinhardt hat mich heute schon kritisiert. aber sehr fair. https://t.co/akfhje4hra;2533;93;1815;09:57:31;Dienstag
2022-05-24;es ist der hass von wenigen frustrierten. aber die mehrheit der bürger, auch kritische menschen, sind friedlich. das schätze ich an ihnen. https://t.co/en90jvpmln;4061;212;2131;09:33:42;Dienstag
2022-05-24;coronaimpfung macht nicht unfruchtbar. das gerücht hält sich leider immer noch. https://t.co/kbig5bridx;1533;159;1080;08:55:51;Dienstag
2022-05-23;ohne jede stigmatisierung müssen insbesondere männer mit anonymen sex vor affenpocken gewarnt werden. sie sind im moment eine risikogruppe. nur gemeinsam kann der ausbruch beendet werden. https://t.co/whp1bdziyj;1896;227;1945;15:40:59;Montag
2022-05-23;mit who generaldirektor ⁦@drtedros⁩ wird heute in genf verhandelt, wie pandemien besser und schneller bekämpft werden können. ärmere länder brauchen dafür nicht nur mehr geld. sie brauchen auch mehr einfluss in der who und die who muss besser finanziert werden. https://t.co/ifeuzyras9;831;105;829;12:57:55;Montag
2022-05-23;gleich beginnt jahrestagung der who in genf. gleichzeitig mit dem weltwirtschaftsforum von davos. für mich ist klar, was die wichtigere veranstaltung ist… https://t.co/boj9eofszs;1525;86;987;08:52:33;Montag
2022-05-22;diese grafik zeigt den unbezahlbaren wert der impfungen. trotzdem ist es nicht sicher, dass es so weiter nach unten geht. nur das gleichzeitige eintreffen der omicron varianten hat den erfolg der impfungen beschleunigt. https://t.co/suz7yibbur;1225;126;1532;18:11:14;Sonntag
2022-05-21;gute nachricht: paxlovid, davon haben wir sehr viel für den herbst gekauft, senkt die sterblichkeit von covid im praxiseinsatz deutlich. die optimale verwendung muss noch besser vorbereitet werden. https://t.co/dka6lubgc9;1838;206;1070;20:56:16;Samstag
2022-05-21;ohne zusammenarbeit werden wir neue pandemien nicht verhindern. in diesem jahr müssen die weichen gestellt werden um zukünftige pandemien frühzeitig eingrenzen zu können. dafür haben g-7 länder einen pakt beschlossen der auch ärmeren ländern das personal und die mittel geben wird https://t.co/pguwfunjar;1053;115;1173;17:45:22;Samstag
2022-05-20;who und g-7 haben sich heute in berlin auf einen pakt gegen neue pandemien geeinigt. klimawandel, reisen und zerstörung der umwelt führen leider immer häufiger zu pandemien, daher brauchen wir eine art weltumfassende feuerwehr dagegen. darauf haben wir uns heute verständigt https://t.co/hxlosabk9u;1586;183;2083;17:14:06;Freitag
2022-05-19;eine gute zusammenfassung über monkeypox. seit monaten haben who und rki ein übungs-szenario zu einem ausbruch fiktiver „leopardenpocken“ vorbereitet, den wir heute als g-7 gesundheitsminister simuliert haben. zeigt, welche bedeutung pandemien bekommen  https://t.co/e9ejsba53v;1243;193;2284;20:38:41;Donnerstag
2022-05-19;danke! https://t.co/lbbnjxjcr7;1801;97;1362;12:47:34;Donnerstag
2022-05-19;die korrektur der who ist wichtig. deutschland hat viele opfer zur vermeidung von coronatoten gebracht. die bilanz ist nicht perfekt. aber es starben weniger menschen als in vielen anderen ländern, zumindest in anbetracht unserer alten bevölkerung. https://t.co/yafgyzptvt;947;69;612;12:02:24;Donnerstag
2022-05-17;in u.k. werden die #longcovid fälle systematischer erfasst als bei uns. es zeigt sich, dass auch viele geimpfte in der omicron welle betroffen sind. trotzdem wäre die zahl ohne impfung viel höher, die impfung schützt. #longcovid alleine wäre grund genug, sich impfen zu lassen. https://t.co/0aj6wvffdw;1438;223;1968;19:21:30;Dienstag
2022-05-17;spürhunde können covid zuverlässig riechen und feststellen. sie können wahrscheinlich auch auf neue varianten spezialisiert werden. für flughäfen wäre dies eine zusätzliche sicherheit. https://t.co/neatilnsfh;2097;274;2800;15:22:42;Dienstag
2022-05-16;alles gut. @larsklingbeil und ich haben das schon ausgeräumt. nicht jede aussprache ist bei uns beiden gleich ein streit😉 https://t.co/vkh1fctsgn;1206;35;286;22:18:07;Montag
2022-05-16;das jetzige infektionsschutzgesetz ist zu dünn, um uns durch die kalte jahreszeit zu bringen. da es am 23.9 ausläuft müssen jetzt die vorbereitungen beginnen. ich weiß, im sommer will das keiner hören. aber im herbst muss das vorbereitet sein. gut, dass die länder mitziehen. https://t.co/2sx6va3okw;3275;303;2712;22:15:53;Montag
2022-05-14;super leistung. wenn es so weiter aufwärts geht wird köln bald deutscher meister… https://t.co/haiprmdnil;1650;54;536;18:14:19;Samstag
2022-05-14;mit dem @fckoeln und @bayer04fussball leverkusen spielen beide teams meines wahlkreises auf der europa bühne. herzlichen glückwunsch, und viel erfolg.;993;18;162;18:09:51;Samstag
2022-05-14;wir werden gemeinsam auch den herbst gut vorbereiten. man darf sich nicht treiben lassen. auch jetzt sterben noch zu viele am coronavirus. https://t.co/twdhs1fmix;1914;157;2021;18:04:27;Samstag
2022-05-13;die leute wollten selfies von uns beiden. alleine hätte mich keiner beachtet. und du konntest wenigstens die fragen beantworten… https://t.co/zes5dbsgoj;3486;108;675;19:55:25;Freitag
2022-05-13;letzte runde wahlkampf nrw. thomas kutschaty hätte es mehr als verdient. er ist kompetent, kein blender. ein guter mp https://t.co/794avxmcak;3125;175;1771;16:24:29;Freitag
2022-05-13;richtfest für das neue arzneimittelwerk von bayer in leverkusen. damit können in 1 hightech fabrik ganz verschiedene wirkstoffe hergestellt werden. ein schritt in richtung unabhängigkeit von lieferketten im ausland. ⁦@olafscholz⁩ und ich haben das gewürdigt. https://t.co/wrj1c716sf;1569;85;646;15:24:18;Freitag
2022-05-13;diese wichtige abwasserproben-studie aus israel belegt, dass die tödlichere delta variante trotz omicron wahrscheinlich nicht einfach verschwindet. im herbst brauchen wir impfstoffe gegen delta varianten und omicron. für beide serotypen müssen wir rüsten https://t.co/h6liokonkr;1395;214;1450;00:25:50;Freitag
2022-05-12;jeder, der sich sorgen um seine eltern, freunde und partner in dieser altersgruppe macht, sollte das ansprechen. obwohl der beweis noch aussteht ist es überwältigend wahrscheinlich, dass eine überstandene schwere covid erkrankung im alter das demenzrisiko erhöht. impfen schützt;1159;96;779;23:34:39;Donnerstag
2022-05-12;schwere covid erkrankungen gehen oft mit sehr deutlichen einschränkungen der denkfähigkeit einher. in tagen kann das gehirn um 20 jahre altern. 4. impfung schützt zuverlässig vor schweren verläufen. ältere und menschen mit risikofaktoren sollten sie nutzen https://t.co/g28mj5iv2p;1942;335;2285;23:30:31;Donnerstag
2022-05-12;gute frage. denn auch für geimpfte kann es zu longcovid kommen. das will niemand. und die arbeit von @vquaschning wird für die energiewende gerade im verkehrsbereich, auch für kollegen @wissing, noch dringend gebraucht! https://t.co/beymeptn5g;1874;158;570;23:20:32;Donnerstag
2022-05-12;mit täglich  bis zu 150 coronatoten und einer immer noch sehr hohen inzidenz fehlt der spielraum, auf masken im öffentlichen verkehr zu verzichten. harmonisierung macht sinn, wenn die pandemie vorbei ist. das ist jetzt noch nicht der fall.  https://t.co/isjqhw56c9;6342;596;3033;21:16:05;Donnerstag
2022-05-11;leider die lage https://t.co/chbpcqhzfg;1643;157;1128;00:09:21;Mittwoch
2022-05-10;bin heute abend bei sandra @maischberger zu gast. was könnte uns im herbst erwarten, ist die pandemie vorbei? aus meiner sicht leider nicht. kommentare willkommen. https://t.co/u7jc5vaqba;1477;123;2439;18:26:17;Dienstag
2022-05-09;es wird keinen behandlungsabbruch (ex-post triage) in deutschland geben. damit ärztinnen erst gar nicht in eine solche entscheidungsnotlage geraten brauchen wir genug personal auf den intensivstationen. daran wird gearbeitet.  https://t.co/aj7zx9pszs;2125;240;1246;17:50:28;Montag
2022-05-08;lesenswert. was man bisher über ba4 und ba5 weiß.  https://t.co/oyyza5mc38;545;109;818;22:20:19;Sonntag
2022-05-08;glückwunsch an ⁦@dguenther_cdush⁩. in pandemiebekämpfung konnte man mit ihm immer gut zusammenarbeiten. das ist wichtig für den herbst. wenn @afd mit hetze gegen ausländer und verleugnung coronagefahr den landtag verlässt: aufatmen für deutschland  https://t.co/s4menwu8c3;2008;66;688;22:03:02;Sonntag
2022-05-08;die kinder können einem leid tun. für propaganda missbraucht. wie zynisch. zuerst kommen die soldaten. zuletzt die sanitäter. https://t.co/hyu9emngol;7368;554;1988;20:48:54;Sonntag
2022-05-06;darin wird auch klargestellt, dass weder ich noch @c_drosten die auswertung verschieben wollten, anders als von einem journalisten immer wieder behauptet wird. für mich kein problem, in der politik kennt man das. aber kampagnen gegen wissenschaftlern schaden uns allen. https://t.co/jelzjvik4n;818;74;624;23:01:42;Freitag
2022-05-06;lesenswertes interview von prof. huster, leiter der kommission zur bewertung des infektionsschutzgesetzes.  https://t.co/vjbcnyxzva;514;64;420;22:55:43;Freitag
2022-05-06;genau. der gesetzentwurf wird vorbereitet. in meseberg war das konsens. wir beschleunigen jetzt das verfahren der legalisierung https://t.co/wql4oj9vde;3753;365;838;16:26:53;Freitag
2022-05-06;so wird es kommen. der prozess wurde eingeleitet. https://t.co/2wsafshygt;6596;420;484;16:24:37;Freitag
2022-05-06;besuch der kinderklinik st. augustin war erhellend wie ernüchternd. dieser klinik verdanken so viele kinder ihr leben. jetzt ist bausubstanz alt und kaputt, sie macht defizite. wir werden das ändern: kinderkliniken kommen aus der fallpauschale, dann gibt es auch kein defizit mehr https://t.co/4lv507iqkf;4043;248;744;16:21:38;Freitag
2022-05-06;diese studie aus israel zeigt noch einmal ganz klar den nutzen der 4. impfung beim schutz gegen schwere covid krankheit. jeder ü70 und alle mit vorerkrankungen sollten das angebot nutzen. schwere covid verläufe führen über longcovid oft zu chronischer krankheit. 4.impfung hilft https://t.co/19ubw8l9z0;1132;189;1510;13:29:50;Freitag
2022-05-05;ich bringe jede bedrohung oder jeden aufruf zur gewalt zur anzeige. wir können gerne in der sache streiten. aber gewalt und drohungen bin ich leid. diese menschen bedrohen oft auch andere und müssen angezeigt werden. https://t.co/ud4nmdzkcr;15263;699;3660;16:23:29;Donnerstag
2022-05-04;das drk hilft uns, für die vielen geflüchteten und evakuierten pflegebedürftigen menschen aus der ukraine einen pflegeplatz zu bekommen. deutschland liefert nicht nur waffen. die humanitäre hilfe darf nicht vergessen werden https://t.co/dzujxyt1hi;1022;64;551;13:57:32;Mittwoch
2022-05-02;diese wichtige studie aus den us zeigt, dass das risikos des übertritts von viren von tier zu mensch durch den klimawandel rasant ansteigt. das potential zukünftiger pandemien steigt sehr stark an. ein besserer schutz vor pandemien ist dringend notwendig  https://t.co/onmshzsnab;2262;343;2168;21:43:02;Montag
2022-05-01;gesund in den sommer. auch wenn man topfit ist kann sich durch die coronainfektion alles für einen ändern. ein gut trainierter körper schützt meistens vor schwerer covid erkrankung. leider nicht annähernd so gut vor longcovid. vorsicht zahlt sich jetzt aus https://t.co/v3cwmopsss;1704;250;1882;14:50:31;Sonntag
2022-04-29;die studien zu omicron ba.4 und ba.5 legen nahe, dass die vorherigen omicron infektionen keinen oder wenig schutz vor ansteckung geben könnten. es steigt damit die wahrscheinlichkeit, dass es im herbst neue infektionswellen geben wird. darauf bereiten wir uns jetzt schon vor. https://t.co/vtzbwug3u4;2364;374;2941;22:28:26;Freitag
2022-04-28;eine wichtige corona-studie der uni freiburg, interpretiert von @erictopol. die studie legt nahe, daß impfungen vor neuen varianten des coronavirus wahrscheinlich besser schützen als eine durchgemachte infektion. auch genese profitieren von der impfung. das wird im herbst wichtig https://t.co/krel6amgsu;1631;244;2188;21:18:50;Donnerstag
2022-04-28;leider hat mir gerade @c_drosten mitgeteilt, dass er die auswertung des infektionsschutzgesetzes für die bundesregierung und das parlament nicht weiter begleitet. das ist ein schwerer verlust, weil niemand könnte es besser.;12902;968;5078;14:12:56;Donnerstag
2022-04-25;an der @chariteberlin⁩ wurden heute die drei stationen mit dem patienten award ausgezeichnet, die von den patienten die beste bewertung hatten. ⁦@c_drosten⁩ und ich waren beeindruckt, die bewertungen waren mehr als verdient. https://t.co/0xqdyp460o;1999;108;1172;19:29:25;Montag
2022-04-24;dass es in europa nochmals solche bilder geben würde habe ich ehrlicherweise nicht für möglich gehalten. hoffentlich endet dieser furchtbare krieg bald. dass er jetzt auch noch als mittel zum wahlkampf eingesetzt wird ist bestürzend. https://t.co/hxkfuiwdrc;4198;284;1194;17:23:06;Sonntag
2022-04-24;in der studie waren nach covid krankenhaus aufenthalt ca 75% 1 jahr nach entlassung nicht gesund. die langzeitwirkungen von covid werden unserer gesundheitssystem noch lange sehr viel geld kosten. die forschung für long covid muss dringend ausgebaut werden. https://t.co/ivb6gh2yaa;2382;384;1428;13:20:58;Sonntag
2022-04-23;das zeigt, weshalb die entscheidung, die corona-isolation zu erhalten, richtig war https://t.co/uajcfrbl3g;5125;312;874;20:08:44;Samstag
2022-04-23;isolation von ⁦@c_lindner⁩ ist richtig. wenn wir coronainfizierte nicht mehr  isolieren, wie @fdp⁩ verlangt wird, gefährden wir alle menschen, die wir durch impfung nicht gut schützen. das sind insbesondere alte menschen und ungeimpfte kinder https://t.co/zw5iyv2lwb;3095;254;1843;19:40:37;Samstag
2022-04-23;im gespräch mit pflegekräften im prosper krankenhaus in recklinghausen. es gelingt uns mittlerweile besser, junge menschen für den pflegeberuf zu gewinnen. aber es gelingt nicht, ausreichend viele im beruf zu halten. seit monaten sammle ich ideen und vorschläge, problem zu lösen https://t.co/y37avxaaed;1400;119;1574;18:29:15;Samstag
2022-04-23;diese us studie aus ca zeigt, dass der schutz vor krankenhaus einweisung mit omicron bereits 3 monate nach dem booster nachlässt. risikopatienten und menschen ab 70 empfehle ich daher wie die stiko die 4. impfung. https://t.co/qhxb0qnqec;1205;220;2164;11:02:13;Samstag
2022-04-22;die studie ist weiterer meilenstein, beginnende alzheimer demenz durch einen bluttest früh zu diagnostizieren. mit solchen tests schafft man die voraussetzungen, medikamente zu entwickeln. die stärkung dieser forschung wird ein schwerpunkt unserer reformen https://t.co/9qutiqngrw;1878;123;588;23:01:41;Freitag
2022-04-22;in köln-mülheim mit stadtteilmüttern, jugendhilfe, christliche sozialhilfe. hilfe für ukrainische flüchtlinge und bereits im stadtteil lebender menschen mit migrations- und fluchthintergründen besprochen. die hilfsbereitschaft ist riesig. auch bei menschen, die selbst arm sind. https://t.co/uddaezkzpo;1079;61;390;18:15:15;Freitag
2022-04-22;diese studien werden in wenigen jahren wahrscheinlich sehr viele menschen beschäftigen. covid patienten leiden oft an nachhaltiger beeinträchtigung ihrer kognitiven leistungen und zeigen dazu passende hirnveränderungen. die akute infektion geht, die chronische krankheit beginnt https://t.co/ik68knngnf;2302;510;1904;14:13:22;Freitag
2022-04-21;lieber @c_lindner. ich wünsche schnelle und vollständige genesung und danke für den hinweis, dass die dreifachimpfung zuverlässig vor schweren verläufen schützt. jeder ungeimpfte in ihrer lage müsste sich jetzt ganz andere sorgen machen. https://t.co/iqdhvodfgf;3856;206;3408;10:23:19;Donnerstag
2022-04-20;in den usa ist eine neue variante aufgetreten, die deutlich ansteckender als omicron ba2 zu sein scheint. niemand hört das gerne, aber es ist so: das coronavirus bleibt unberechenbar. durch überwachung neuer varianten und anpassungen der impfstoffe sind wir aber gut vorbereitet https://t.co/tg87p9ctkx;3663;599;4165;18:20:52;Mittwoch
2022-04-18;wir tun alles, diese mediziner dorthin zu vermitteln, wo sie ohne unverantwortbare eigene gefährdung helfen können. die zusammenarbeit mit ländern ukrainegrenze und der ukraine ist eng. auch werden verletzte und kranke ausgeflogen und in d und eu versorgt https://t.co/ade6mtt4d8;1847;157;572;11:15:12;Montag
2022-04-17;stimmt. so könnte es leider kommen. mit jedem herbst steigt der anteil der longcovid kranken in der bevölkerung. dagegen müssen arzneimittel entwickelt werden. die impfung reicht alleine nicht. https://t.co/80yalz6z4p;2707;339;2231;19:33:15;Sonntag
2022-04-17;ich wünsche uns allen ein frohes osterfest, obwohl es viele leider nicht haben können. meine gedanken sind bei all den menschen, die jetzt unter dem mörderischen narzisstischen diktator putin leiden müssen.;17806;651;2416;12:15:48;Sonntag
2022-04-16;die @afd trägt mit zu dem klima bei, das die gesellschaft spaltet und in gewalt endet. sie trägt den hass in die parlamente. die demokratischen parteien trennt vieles. aber wir arbeiten alle daran, dass die @afd die parlamente wieder verlassen muss. https://t.co/mir3hanx74;7491;915;3666;10:25:21;Samstag
2022-04-15;nach wie vor sehr hohe coronafallzahl führt zu zu vielen todesfällen noch kurz vor sommerentspannung. ich appelliere an alle zum freiwilligen maskentragen im innenraum. ein kleines opfer. gerade an ostern sollten wir weder uns selbst noch andere gefährden. https://t.co/dspcztdqfb;3661;424;3132;11:25:01;Freitag
2022-04-14;coronapolitik wird zunehmend durch staatsfeinde missbraucht. durch gewalt soll demokratie beschädigt werden. danke an ermittler und bka, die mir halfen. gegner und befürworter meiner arbeit  will ich auch weiter zusammenführen. aber gewalt weiche ich nicht https://t.co/i65ptwuk3d;10110;708;3100;13:14:00;Donnerstag
2022-04-13;diese amerikanische studie zur entwicklung der lebenserwartung während der covid pandemie zeigt, dass deutschland im vergleich zu vielen industrieländern bisher eine geringere senkung der lebenserwartung hatte. die solidarität der bürger hat dies erreicht. https://t.co/o4ndovvcip;2236;188;1944;23:58:41;Mittwoch
2022-04-11;vor meiner wohnung protestieren die impfgegner. die proteste radikalisieren sich. trotzdem darf es keine leichtsinnige corona politik geben, nur um solche proteste zu vermeiden. proteste sind ok. gewalt und gewaltdrohungen jedoch nicht, und sie sind leider auch alltag. https://t.co/tdtmsd0wpm;8347;702;4873;23:09:05;Montag
2022-04-10;nach dieser herben woche darf man den humor nicht komplett verlieren. klaus stuttmann liegt aber hier daneben… https://t.co/qf5hxt2w8y;6775;322;1488;13:32:18;Sonntag
2022-04-10;solche plakate sollte man nicht aufstellen. sicher vor einer coronainfektion ist man ohne maske sicher nicht https://t.co/o4r1q1rc5y;15048;999;3767;11:01:56;Sonntag
2022-04-09;wichtige studie von @eckerleisabella zeigt, dass geboosterte infizierte mit omicron deutlich weniger ansteckend sind als ungeimpfte oder ungeboosterte infizierte. somit ist die boosterimpfung nicht nur selbstschutz sondern auch fremdschutz. https://t.co/1dpguimhlk;5431;783;2638;17:03:53;Samstag
2022-04-09;lieber ⁦@markus_soeder⁩. milden verlauf und schnelle und vollständige genesung wünsche ich ihnen. es kann leider jeden von und treffen. zum glück schützt uns die impfung zumindest fast immer vor schwerer krankheit.  https://t.co/bhfenzsyah;3331;155;1431;14:58:05;Samstag
2022-04-09;wenn die medizinische versorgung durch covid gefährdet ist, zb zu viele patienten mit covid oder zu wenig personal weil an covid infiziert, sollte die hotspot regel des infektionsschutzgesetzes genutzt werden. genau dafür wurde sie gemacht.  https://t.co/mykkkuyvzi;1699;236;1621;13:02:14;Samstag
2022-04-09;die fallzahlen gehen stark zurück. damit es so bleibt sollte sich jeder vor einer osterreise testen lassen oder selbst testen. ich rate auch weiter zum freiwilligen tragen der maske in innenräumen. https://t.co/e4txuvkghs;2229;189;2045;09:24:31;Samstag
2022-04-08;wir dürfen uns an diese zahlen nicht gewöhnen. die welle der infizierten flacht jetzt ab. dann folgt auch die zahl der toten. aber im herbst müssen und werden wir besser vorbereitet sein. https://t.co/nejf9oau6m;3379;238;2574;17:25:22;Freitag
2022-04-08;diese studie zu #longcovid aus f zeigt, dass diejenigen, die nach 2 mon noch symptome haben, zu 85% auch noch nach 1 jahr symptome haben. nach 6 mon verschlechtert sich die lebensqualität sogar. so kann eine unnötige infektion das leben verändern https://t.co/qjbqt08kxg;3409;765;1936;17:11:12;Freitag
2022-04-08;das kann für china leider ein grosses problem werden. im inneren des landes sind die impfquoten leider sehr niedrig. https://t.co/c8fflsrzv8;1347;139;1439;01:02:52;Freitag
2022-04-07;hier ist das ergebnis zum gesetz für die impfpflicht. fast nur abgeordnete von ⁦@spdbt⁩ und ⁦@gruenebundestag⁩ haben für impfpflicht gestimmt. man kann für oder gegen impfpflicht sein. aber es ist schade, wenn ein so wichtiges thema gegenstand der parteipolitik ist https://t.co/h8byhxcubl;8791;938;3939;21:20:32;Donnerstag
2022-04-07;fast jeden tag gibt es neue studien zu langfristigen schäden der coronainfektion, wird uns noch jahre begleiten. wir müssen mehr über diese langzeitschäden aufklären.  https://t.co/m2tiljm4ff;3409;515;3573;13:51:52;Donnerstag
2022-04-07;einziger gesetzentwurf, der die allgemeine impfpflicht gebracht hätte, ist gerade gescheitert. es ist eine sehr wichtige entscheidung, denn jetzt wird die bekämpfung von corona im herbst viel schwerer werden. es helfen keine politischen schuldzuweisungen. wir machen weiter;12862;786;7506;12:49:50;Donnerstag
2022-04-07;im bundestag kämpfen wir gerade für die einführung einer impfpflicht. 90% der corona todesfälle sind über 60 j alt. daher ist die impflücke in dieser gruppe besonders wichtig. der gesetzesantrag zur impfpflicht beginnt mit der impfpflicht für diese altersgruppe. ein wichtiger tag;4637;214;2823;10:14:35;Donnerstag
2022-04-06;2) corona ist keine erkältung. daher muss es weiter eine isolation nach infektion geben. angeordnet und kontrolliert durch die gesundheitsämter. dazu morgen mehr. der fehler lag bei mir und hat nichts mit der fdp oder lockerung zu tun. es ging um entlastung der gesundheitsämter;15219;623;1288;02:37:12;Mittwoch
2022-04-06;1) die beendigung der anordnung der isolation nach coronainfektion durch die gesundheitsämter zugunsten von freiwilligkeit wäre falsch und wird nicht kommen. hier habe ich einen fehler gemacht. das entlastet zwar die gesundheitsämter. aber das signal ist falsch und schädlich.;26182;1904;3664;02:37:12;Mittwoch
2022-04-05;der kompromissvorschlag hat eine hohe wahrscheinlichkeit, die impfpflicht am donnerstag durchzusetzen. da 90% der covid toten über 60 j alt sind wird er eine sehr starke wirkung im herbst haben.  https://t.co/x4i320qd4o;1933;195;3571;19:26:13;Dienstag
2022-04-04;2) jetzt gibt es viele, die nicht mehr an gelingen der impfpflicht glauben. auch schadenfreude wird laut. ich glaube aber immer noch an sieg der vernunft. die gesellschaft verlangt zunehmend lockerungen, druck ist immens. ohne impfpflicht müssen im herbst die lockerungen enden;2324;126;2694;22:21:01;Montag
